          10     1.89086
          20     1.86361
          30     1.82054
          40     1.76625
          50      1.7078
          60     1.65364
          70     1.61101
          80     1.58326
          90     1.56909
         100     1.56402
         110     1.56261
         120     1.56024
         130     1.55414
         140     1.54392
         150     1.53183
         160     1.52185
         170     1.51771
         180      1.5208
         190     1.52926
         200     1.53891
         210     1.54548
         220     1.54679
         230      1.5438
         240     1.54017
         250     1.54027
         260     1.54668
         270     1.55824
         280     1.57074
         290     1.57961
         300     1.58181
         310     1.57612
         320     1.56303
         330     1.54465
         340     1.52417
         350     1.50481
         360     1.48863
         370     1.47623
         380     1.46737
         390     1.46183
         400     1.46003
         410     1.46283
         420     1.47104
         430     1.48493
         440     1.50381
         450     1.52569
         460     1.54773
         470     1.56713
         480     1.58219
         490     1.59264
         500     1.59928
         510     1.60315
         520     1.60517
         530      1.6063
         540     1.60786
         550     1.61066
         560     1.61364
         570     1.61368
         580     1.60745
         590     1.59363
         600     1.57372
         610     1.55143
         620     1.53119
         630     1.51656
         640     1.50918
         650     1.50864
         660     1.51236
         670     1.51619
         680     1.51574
         690     1.50781
         700     1.49142
         710     1.46797
         720      1.4409
         730     1.41491
         740     1.39535
         750     1.38773
         760      1.3959
         770      1.4187
         780     1.44934
         790     1.47919
         800     1.50201
         810     1.51574
         820     1.52234
         830     1.52605
         840     1.53122
         850      1.5409
         860     1.55658
         870     1.57779
         880     1.60158
         890     1.62292
         900     1.63656
         910     1.63899
         920     1.62924
         930     1.60883
         940     1.58124
         950     1.55151
         960     1.52562
         970     1.50916
         980     1.50569
         990     1.51617
        1000     1.53962
          10     1.93463
          20     1.97368
          30     2.01251
          40     2.04766
          50     2.07553
          60     2.09314
          70     2.09876
          80     2.09208
          90     2.07423
         100     2.04762
         110     2.01558
         120     1.98156
         130     1.94798
         140     1.91614
         150     1.88703
         160     1.86272
         170     1.84627
         180     1.83976
         190     1.84271
         200      1.8523
         210     1.86429
         220       1.874
         230     1.87736
         240     1.87192
         250     1.85713
         260     1.83387
         270     1.80433
         280      1.7721
         290     1.74157
         300      1.7164
         310     1.69797
         320     1.68568
         330      1.6788
         340     1.67783
         350     1.68458
         360     1.70105
         370     1.72793
         380     1.76316
         390     1.80232
         400     1.84066
         410     1.87525
         420     1.90516
         430     1.92988
