          10     0.79437
          20    0.780863
          30    0.760879
          40    0.736403
          50    0.709662
          60    0.682645
          70    0.656807
          80    0.633052
          90    0.611927
         100    0.593689
         110    0.578331
         120      0.5655
         130    0.554517
         140    0.544516
         150    0.534788
         160    0.525104
         170    0.516009
         180    0.508788
         190    0.505071
         200      0.5061
         210    0.512113
         220    0.522234
         230    0.534841
         240    0.548114
         250    0.560444
         260    0.570595
         270    0.577791
         280    0.581727
         290    0.582639
         300    0.581252
         310     0.57871
         320    0.576415
         330    0.575665
         340    0.577271
         350    0.581358
         360    0.587463
         370    0.594811
         380    0.602661
         390    0.610432
         400    0.617776
         410    0.624452
         420    0.630199
         430    0.634778
         440    0.637909
         450    0.639353
         460    0.639031
         470    0.637069
         480    0.633793
         490    0.629597
         500    0.624986
         510    0.620427
         520    0.616336
         530    0.613134
         540    0.611181
         550    0.610766
         560    0.611949
         570    0.614497
         580    0.617919
         590    0.621606
         600    0.624977
         610    0.627598
         620    0.629255
         630    0.629859
         640    0.629441
         650    0.628134
         660    0.626077
         670    0.623439
         680      0.6204
         690    0.617053
         700    0.613457
         710    0.609697
         720    0.605925
         730    0.602306
         740    0.599017
         750    0.596114
         760    0.593553
         770    0.591239
         780    0.589063
         790    0.586979
         800    0.585051
         810    0.583462
         820    0.582334
         830    0.581719
         840    0.581551
         850    0.581696
         860    0.582088
         870     0.58269
         880    0.583641
         890    0.585056
         900    0.587054
         910    0.589637
         920    0.592699
         930    0.596012
         940    0.599372
         950    0.602526
         960    0.605301
         970    0.607596
         980    0.609342
         990    0.610505
        1000    0.611072
          10    0.797886
          20    0.790844
          30     0.77958
          40    0.765104
          50    0.748587
          60    0.731261
          70    0.714259
          80    0.698498
          90    0.684652
         100    0.673326
         110    0.665072
         120     0.66057
         130    0.660513
         140    0.665333
         150    0.674968
         160     0.68863
         170     0.70476
         180    0.721304
         190    0.736098
         200     0.74735
         210    0.753907
         220    0.755183
         230    0.751103
         240    0.741932
         250     0.72832
         260    0.711273
         270    0.692376
         280    0.673653
         290    0.657306
         300    0.645265
         310    0.638769
         320    0.638032
         330    0.642371
         340    0.650426
         350    0.660552
         360    0.671237
         370    0.681321
         380    0.690103
         390    0.697311
         400    0.702993
         410    0.707419
         420    0.710783
         430    0.713233
         440    0.714789
         450    0.715319
         460    0.714487
         470    0.712016
         480    0.707807
         490    0.702185
         500    0.695953
         510    0.690289
         520    0.686558
         530    0.686012
         540    0.689473
         550    0.697143
         560    0.708597
         570    0.722774
         580    0.738127
         590    0.752898
         600    0.765322
         610    0.773838
         620    0.777326
         630    0.775291
         640    0.768035
         650    0.756624
         660    0.742777
         670    0.728474
         680    0.715434
         690    0.704814
         700    0.696997
         710    0.691679
         720    0.688059
         730    0.685276
         740    0.682833
         750    0.680817
         760    0.680067
         770    0.681794
         780    0.687063
         790    0.696068
         800    0.707643
         810    0.719462
         820     0.72878
         830    0.733486
         840     0.73272
         850     0.72692
         860    0.717427
         870    0.705764
         880    0.693175
         890    0.680434
         900    0.667958
         910    0.656315
         920    0.646434
         930    0.639607
         940    0.637017
         950    0.639112
         960    0.645268
         970    0.653913
         980    0.663272
         990    0.672112
        1000    0.680111
          10    0.806432
          20    0.810559
          30    0.812593
          40    0.812367
          50    0.809072
          60    0.801864
          70    0.790422
          80    0.775271
          90    0.757727
         100    0.739726
         110    0.723452
         120    0.710935
         130    0.703664
         140    0.702493
         150    0.708157
         160    0.721598
         170     0.74324
         180    0.771646
         190     0.80324
         200    0.833667
         210    0.859621
         220    0.879616
         230    0.893573
         240    0.901899
         250     0.90509
         260    0.903482
         270    0.897318
         280    0.886791
         290    0.872266
         300     0.85412
         310    0.832726
         320    0.808729
         330    0.783375
         340    0.759018
         350    0.739021
         360    0.726312
         370    0.721313
         380    0.721662
         390    0.724018
         400     0.72605
         410    0.726843
         420    0.726243
         430    0.724438
         440    0.721857
         450    0.719237
         460    0.717549
         470    0.717634
         480    0.719793
         490     0.72358
         500    0.727802
         510    0.730859
         520    0.731332
         530    0.728491
         540    0.722523
         550    0.714494
         560    0.706088
         570    0.699428
         580    0.696615
         590    0.699306
         600    0.708068
         610    0.722211
         620    0.740027
         630    0.759486
         640    0.778556
         650    0.795407
         660     0.80865
         670    0.817362
         680    0.821203
         690    0.820404
         700     0.81561
         710    0.807913
         720    0.798701
         730    0.789588
         740    0.782074
         750    0.777166
         760     0.77512
         770    0.775381
         780    0.776948
         790    0.778655
         800    0.779524
         810    0.778934
         820    0.776801
         830     0.77347
         840     0.76974
         850     0.76673
         860    0.765581
         870    0.767284
         880    0.772399
         890    0.780723
         900    0.791185
         910    0.801927
         920     0.81055
         930    0.814664
         940    0.812435
         950    0.803143
         960    0.787424
         970    0.767332
         980    0.745804
         990     0.72598
        1000     0.71044
          10     0.78989
          20    0.783301
          30    0.780808
          40    0.781929
          50    0.785852
          60    0.791513
          70    0.797696
          80    0.803301
          90    0.807529
         100    0.810085
         110    0.811374
         120    0.812461
         130    0.814776
         140    0.819439
         150    0.826419
         160     0.83418
         170    0.840308
         180    0.842667
         190     0.84047
         200    0.834662
         210    0.827598
         220     0.82198
         230    0.819763
         240    0.821517
         250    0.826716
         260    0.834185
         270    0.842385
         280    0.849513
         290    0.853698
         300    0.853278
         310    0.847273
         320    0.835657
         330    0.819659
         340     0.80163
         350    0.784674
         360    0.771871
         370     0.76553
         380    0.766637
         390    0.774701
         400     0.78808
         410    0.804523
         420    0.821883
         430    0.838478
         440    0.852935
         450    0.863958
         460    0.870176
         470      0.8704
         480    0.864107
         490    0.851901
